"species","matched_names","synonym_names","final_names"
"Melampyrum sylvaticum L.","Melampyrum sylvaticum","Melampyrum sylvaticum",NA
"Mentha aquatica L.","Mentha aquatica","Mentha aquatica","Mentha aquatica"
"Mentha arvensis L.","Mentha arvensis","Mentha arvensis","Mentha arvensis"
"Menyanthes trifoliata L.","Menyanthes trifoliata","Menyanthes trifoliata","Menyanthes trifoliata"
"Neottia nidus-avis","Neottia nidus-avis","Neottia nidus-avis",NA
"Nuphar lutea","Nuphar lutea","Nuphar lutea","Nuphar lutea"
"Nymphaea alba L.","Nymphaea alba","Nymphaea alba","Nymphaea alba"
"Orchis mascula","Orchis mascula","Orchis mascula",NA
"Origanum vulgare L.","Origanum vulgare","Origanum vulgare","Origanum vulgare"
"Ornithogalum angustifolium","Ornithogalum angustifolium","Ornithogalum angustifolium",NA
"Oxalis acetosella L.","Oxalis acetosella","Oxalis acetosella",NA
"Papaver dubium","Papaver dubium","Papaver dubium","Papaver dubium"
"Papaver rhoeas L.","Papaver rhoeas","Papaver rhoeas","Papaver rhoeas"
"Paris quadrifolia L.","Paris quadrifolia","Paris quadrifolia",NA
"Parnassia palustris L.","Parnassia palustris","Parnassia palustris","Parnassia palustris"
"Pedicularis sylvatica L.","Pedicularis sylvatica","Pedicularis sylvatica","Pedicularis sylvatica"
"Persicaria lapathifolia","Persicaria lapathifolia","Persicaria lapathifolia","Persicaria lapathifolia"
"Persicaria maculosa Gray.","Persicaria maculosa","Persicaria maculosa","Persicaria maculosa"
"Persicaria vivipara","Persicaria vivipara","Persicaria vivipara",NA
"Pinguicula vulgaris L.","Pinguicula vulgaris","Pinguicula vulgaris","Pinguicula vulgaris"
"Plantago lanceolata L.","Plantago lanceolata","Plantago lanceolata","Plantago lanceolata"
"Plantago major L.","Plantago major","Plantago major","Plantago major"
"Plantago media L.","Plantago media","Plantago media","Plantago media"
"Platanthera bifolia ","Platanthera bifolia","Platanthera bifolia",NA
"Platanthera chlorantha","Platanthera chlorantha","Platanthera chlorantha",NA
"Polygala vulgaris L.","Polygala vulgaris","Polygala vulgaris","Polygala vulgaris"
"Polygonum amphibium L.","Polygonum amphibium","Polygonum amphibium",NA
"Polygonum aviculare","Polygonum aviculare","Polygonum aviculare","Polygonum aviculare"
"Polygonum hydropiper","Polygonum hydropiper","Polygonum hydropiper",NA
"Potamogeton natans L.","Potamogeton natans","Potamogeton natans","Potamogeton natans"
"Potamogeton perfoliatus L.","Potamogeton perfoliatus","Potamogeton perfoliatus","Potamogeton perfoliatus"
"Potamogeton pusillus L.","Potamogeton pusillus","Potamogeton pusillus","Potamogeton pusillus"
"Primula farinosa L.","Primula farinosa","Primula farinosa",NA
"Primula veris L.","Primula veris","Primula veris","Primula veris"
"Prunella vulgaris L.","Prunella vulgaris","Prunella vulgaris","Prunella vulgaris"
"Rhinanthus  angustifolius","Rhinanthus angustifolius","Rhinanthus angustifolius",NA
"Rhinanthus  minor L.","Rhinanthus minor","Rhinanthus minor","Rhinanthus minor"
"Rumex acetosa L.","Rumex acetosa","Rumex acetosa","Rumex acetosa"
"Rumex acetosella L.","Rumex acetosella","Rumex acetosella","Rumex acetosella"
"Rumex aquaticus L.","Rumex aquaticus","Rumex aquaticus","Rumex aquaticus"
"Rumex crispus L.","Rumex crispus","Rumex crispus","Rumex crispus"
"Rumex longifolius L.","Rumex longifolius","Rumex longifolius","Rumex longifolius"
"Scutellaria galericulata L.","Scutellaria galericulata","Scutellaria galericulata","Scutellaria galericulata"
"Stachys palustris","Stachys palustris","Stachys palustris","Stachys palustris"
"Stachys sylvatica L.","Stachys sylvatica","Stachys sylvatica","Stachys sylvatica"
"Syringa vulgaris L.","Syringa vulgaris","Syringa vulgaris","Syringa vulgaris"
"Thymus serpyllum","Thymus serpyllum","Thymus serpyllum",NA
"Tilia x europaea","Tilia europaea","Tilia europaea",NA
"Trientalis europaea L.","Trientalis europaea","Trientalis europaea","Trientalis europaea"
"Tulipa gesneriana","Tulipa gesneriana","Tulipa gesneriana","Tulipa gesneriana"
"Utricularia minor L.","Utricularia minor","Utricularia minor","Utricularia minor"
"Utricularia vulgaris L.","Utricularia vulgaris","Utricularia vulgaris","Utricularia vulgaris"
"Veronica agrestis L.","Veronica agrestis","Veronica agrestis","Veronica agrestis"
"Veronica anagallis-aquatica L.","Veronica anagallis-aquatica","Veronica anagallis-aquatica","Veronica anagallis-aquatica"
"Veronica arvensis","Veronica arvensis","Veronica arvensis","Veronica arvensis"
"Veronica beccabunga L.","Veronica beccabunga","Veronica beccabunga","Veronica beccabunga"
"Veronica chamaedrys L.","Veronica chamaedrys","Veronica chamaedrys","Veronica chamaedrys"
"Veronica officinalis","Veronica officinalis","Veronica officinalis","Veronica officinalis"
"Veronica scutellata L.","Veronica scutellata","Veronica scutellata","Veronica scutellata"
"Veronica serpyllifolia L.","Veronica serpyllifolia","Veronica serpyllifolia","Veronica serpyllifolia"
"Veronica spicata L.","Veronica spicata","Veronica spicata","Veronica spicata"
"Veronica verna","Veronica verna","Veronica verna","Veronica verna"
"Zannichellia palustris L.","Zannichellia palustris","Zannichellia palustris","Zannichellia palustris"
"Acer platanoides","Acer platanoides","Acer platanoides","Acer platanoides"
"Actaea spicata L.","Actaea spicata","Actaea spicata","Actaea spicata"
"Agrimonia eupatoria L.","Agrimonia eupatoria","Agrimonia eupatoria","Agrimonia eupatoria"
"Alchemilla vulgaris L.","Alchemilla vulgaris","Alchemilla vulgaris",NA
"Anemone hepatica L.","Anemone hepatica","Anemone hepatica",NA
"Anemone nemorosa L.","Anemone nemorosa","Anemone nemorosa","Anemone nemorosa"
"Anemone pulsatilla L.","Anemone pulsatilla","Anemone pulsatilla","Anemone pulsatilla"
"Anemone ranunculiodes","Anemone ranunculoides","Anemone ranunculoides","Anemone ranunculoides"
"Anemone vernalis L.","Anemone vernalis","Anemone vernalis",NA
"Aquilegia vulgaris ","Aquilegia vulgaris","Aquilegia vulgaris","Aquilegia vulgaris"
"Argentina anserina L.","Argentina anserina","Argentina anserina",NA
"Asperula tinctoria L.","Asperula tinctoria","Asperula tinctoria",NA
"Caltha palustris L.","Caltha palustris","Caltha palustris","Caltha palustris"
"Comarum palustre L.","Comarum palustre","Comarum palustre","Comarum palustre"
"Consolida regalis Gray.","Consolida regalis","Consolida regalis","Consolida regalis"
"Cotoneaster integerrimus Medik.","Cotoneaster integerrimus","Cotoneaster integerrimus","Cotoneaster integerrimus"
"Crataegus rhipidophylla Gand.","Crataegus rhipidophylla","Crataegus rhipidophylla","Crataegus rhipidophylla"
"Daphne mezereum L.","Daphne mezereum","Daphne mezereum","Daphne mezereum"
"Ficaria verna","Ficaria verna","Ficaria verna",NA
"Filipendula ulmaria","Filipendula ulmaria","Filipendula ulmaria","Filipendula ulmaria"
"Filipendula vulgaris ","Filipendula vulgaris","Filipendula vulgaris","Filipendula vulgaris"
"Fragaria  vesca L.","Fragaria vesca","Fragaria vesca","Fragaria vesca"
"Galium album","Galium album","Galium album","Galium album"
"Galium aparine L.","Galium aparine","Galium aparine","Galium aparine"
"Galium boreale L.","Galium boreale","Galium boreale","Galium boreale"
"Galium mollugo L.","Galium mollugo","Galium mollugo","Galium mollugo"
"Galium odoratum ","Galium odoratum","Galium odoratum","Galium odoratum"
"Galium palustre L.","Galium palustre","Galium palustre","Galium palustre"
"Galium uliginosum L.","Galium uliginosum","Galium uliginosum","Galium uliginosum"
"Galium verum L.","Galium verum","Galium verum","Galium verum"
"Geum rivale L.","Geum rivale","Geum rivale","Geum rivale"
"Geum urbanum L.","Geum urbanum","Geum urbanum","Geum urbanum"
"Hepatica nobilis","Hepatica nobilis","Hepatica nobilis",NA
"Hyoscyamus  niger L.","Hyoscyamus niger","Hyoscyamus niger","Hyoscyamus niger"
"Lathraea squamaria","Lathraea squamaria","Lathraea squamaria",NA
"Limosella aquatica L.","Limosella aquatica","Limosella aquatica","Limosella aquatica"
"Linaria repens","Linaria repens","Linaria repens","Linaria repens"
"Linaria vulgaris Mill.","Linaria vulgaris","Linaria vulgaris","Linaria vulgaris"
"Malus sylvestris","Malus sylvestris","Malus sylvestris",NA
"Myosurus minimus L.","Myosurus minimus","Myosurus minimus","Myosurus minimus"
"Odontites vulgaris Moench.","Odontites vulgaris","Odontites vulgaris","Odontites vulgaris"
"Populus tremula L.","Populus tremula","Populus tremula","Populus tremula"
"Potentilla argentea L.","Potentilla argentea","Potentilla argentea","Potentilla argentea"
"Potentilla erecta","Potentilla erecta","Potentilla erecta","Potentilla erecta"
"Potentilla fruticosa","Potentilla fruticosa","Potentilla fruticosa",NA
"Potentilla reptans","Potentilla reptans","Potentilla reptans","Potentilla reptans"
"Potentilla tabernaemontani Asch.","Potentilla tabernaemontani","Potentilla tabernaemontani",NA
"Prunus padus L.","Prunus padus","Prunus padus","Prunus padus"
"Prunus spinosa L.","Prunus spinosa","Prunus spinosa","Prunus spinosa"
"Pulsatilla vulgaris","Pulsatilla vulgaris","Pulsatilla vulgaris",NA
"Ranunculus acris L.","Ranunculus acris","Ranunculus acris","Ranunculus acris"
"Ranunculus aquatilis L.","Ranunculus aquatilis","Ranunculus aquatilis","Ranunculus aquatilis"
"Ranunculus auricomus L.","Ranunculus auricomus","Ranunculus auricomus","Ranunculus auricomus"
"Ranunculus ficaria L.","Ranunculus ficaria","Ranunculus ficaria","Ranunculus ficaria"
"Ranunculus flammula L.","Ranunculus flammula","Ranunculus flammula","Ranunculus flammula"
"Ranunculus lingua L.","Ranunculus lingua","Ranunculus lingua",NA
"Ranunculus polyanthemos L.","Ranunculus polyanthemos","Ranunculus polyanthemos",NA
"Ranunculus repens L.","Ranunculus repens","Ranunculus repens","Ranunculus repens"
"Ranunculus reptans L.","Ranunculus reptans","Ranunculus reptans",NA
"Ranunculus sceleratus L.","Ranunculus sceleratus","Ranunculus sceleratus","Ranunculus sceleratus"
"Rhamnus catharticus L.","Rhamnus catharticus","Rhamnus catharticus",NA
"Rhamnus frangula L.","Rhamnus frangula","Rhamnus frangula","Rhamnus frangula"
"Rosa canina L.","Rosa canina","Rosa canina","Rosa canina"
"Rosa dumalis","Rosa dumalis","Rosa dumalis",NA
"Rosa mollis","Rosa mollis","Rosa mollis","Rosa mollis"
"Rosa rugosa","Rosa rugosa","Rosa rugosa","Rosa rugosa"
"Rosa villosa","Rosa villosa","Rosa villosa","Rosa villosa"
"Rubus caesius L.","Rubus caesius","Rubus caesius","Rubus caesius"
"Rubus chamaemorus L.","Rubus chamaemorus","Rubus chamaemorus","Rubus chamaemorus"
"Rubus idaeus L.","Rubus idaeus","Rubus idaeus","Rubus idaeus"
"Rubus saxatilis L.","Rubus saxatilis","Rubus saxatilis","Rubus saxatilis"
"Salix  caprea L.","Salix caprea","Salix caprea","Salix caprea"
"Salix  myrtilloides L.","Salix myrtilloides","Salix myrtilloides",NA
"Salix  pentandra L.","Salix pentandra","Salix pentandra","Salix pentandra"
"Saxifraga cespitosa","Saxifraga cespitosa","Saxifraga cespitosa","Saxifraga cespitosa"
"Saxifraga granulata L.","Saxifraga granulata","Saxifraga granulata",NA
"Saxifraga tridactylites L.","Saxifraga tridactylites","Saxifraga tridactylites","Saxifraga tridactylites"
"Scrophularia nodosa L.","Scrophularia nodosa","Scrophularia nodosa","Scrophularia nodosa"
"Solanum Dulcamara L.","Solanum dulcamara","Solanum dulcamara","Solanum dulcamara"
"Sorbus  aria","Sorbus aria","Sorbus aria","Sorbus aria"
"Sorbus  aucuparia L.","Sorbus aucuparia","Sorbus aucuparia","Sorbus aucuparia"
"Thalictrum flavum L.","Thalictrum flavum","Thalictrum flavum",NA
"Ulmus minor ","Ulmus minor","Ulmus minor",NA
"Urtica dioica L.","Urtica dioica","Urtica dioica","Urtica dioica"
"Urtica urens L.","Urtica urens","Urtica urens","Urtica urens"
"Verbascum lychnitis","Verbascum lychnitis","Verbascum lychnitis","Verbascum lychnitis"
"Verbascum nigrum L.","Verbascum nigrum","Verbascum nigrum","Verbascum nigrum"
"Verbascum thapsus L.","Verbascum thapsus","Verbascum thapsus","Verbascum thapsus"
"Veronica officinalis L.","Veronica officinalis","Veronica officinalis","Veronica officinalis"
"Viola arvensis","Viola arvensis","Viola arvensis","Viola arvensis"
"Viola bicolor ","Viola bicolor","Viola bicolor","Viola bicolor"
"Viola canina L.","Viola canina","Viola canina","Viola canina"
"Viola hirta L.","Viola hirta","Viola hirta",NA
"Viola mirabilis L.","Viola mirabilis","Viola mirabilis","Viola mirabilis"
"Viola odorata","Viola odorata","Viola odorata","Viola odorata"
"Viola palustris L.","Viola palustris","Viola palustris","Viola palustris"
"Viola riviniana","Viola riviniana","Viola riviniana",NA
"Viola tricolor L.","Viola tricolor","Viola tricolor","Viola tricolor"
NA,NA,NA,NA
NA,NA,NA,NA
